Plot,Macro Percent N,Macro PercentC,Micro Percent N,Micro PercentC,S.C Percent N,S.C PercentC,LF Percent N,LF Percent C,DF Percent N,DF Percent C,MF Percent N,MF Percent C,Earthworm_RelAbundance,Earthworm,Ammonification,Nitrification,N Mineralization,NH4_Initial_g,resin ammonium
24,0.79138732,10.02233028,0.393836081,5.760991096,0.277251124,3.741588354,1.720621705,25.60221481,0.524766088,7.497139454,0.393805593,4.538499355,0,No,0.07415606,0.169354732,0.243510792,0.016195919,0.151616825
25,0.785809219,10.77692986,0.790093958,9.437295914,0.621619046,7.310587406,,,,,,,0,,0.045768987,0.540912074,0.586681061,0.028032555,0.949856322
26,0.761309087,10.42353916,0.862814724,10.79234409,0.746253908,9.045431137,,,,,,,0,,0.097271623,0.552780858,0.650052481,0.063992403,2.162744823
27,0.706204832,9.961966515,0.787763059,10.02260494,0.701727152,8.366304398,,,,,,,0,,0.108051602,0.478525427,0.586577029,0.016356014,6.440947244
28,0.858995676,12.7519989,0.786978304,9.709531784,0.649258673,7.740991592,,,,,,,0,,0.067075994,0.352372696,0.41944869,0.073864568,1.391117724
29,0.978041172,15.13884544,0.797673106,9.878863335,0.694930315,8.295602798,,,,,,,0,,0.055629346,0.544808492,0.600437837,0.02661541,-0.022369834
30,0.795619905,10.96076012,0.806103826,10.44634438,0.642751575,7.860219002,,,,,,,0,,0.057171666,0.59022024,0.647391905,0.017782168,3.900154953
31,0.663767338,8.883073807,0.567941785,7.023180485,0.624832869,7.45985651,,,,,,,0,,0.054808482,0.536369875,0.591178357,0.012616687,0.672368982
32,1.063720107,14.06314754,0.808427691,9.139262199,0.701233685,7.393249989,,,,,,,0,,0.001311334,0.941904279,0.943215613,0.023494375,1.179288219
33,0.776415646,8.815494537,0.407555133,5.191557884,0.639233112,6.776148319,,,,,,,0,,-0.005355971,0.959596383,0.954240411,0.022270456,0.968233227
34,0.645531535,6.923325062,0.622510254,6.742489338,0.570077777,6.028414726,1.329109788,24.6857338,0.366455019,4.632455349,0.668744147,6.909493446,0,,0.004697063,0.547681812,0.552378875,0.012068657,-0.219870835
35,0.578804612,6.84392643,0.63772136,6.69831562,0.530322075,5.616999626,1.541547537,27.27691078,0.40020439,4.649997711,0.602885127,5.992127895,0,,0.001618284,0.370891696,0.37250998,0.005812478,0.251808027
36,0.542832971,5.93473196,0.577924848,6.530558109,0.476544827,5.105618954,1.334734559,22.22019577,0.208327442,2.566218615,0.521253884,5.618731022,0,,0.033735881,0.533804218,0.567540098,0.003504198,0.046561888
37,0.767985463,9.844537735,0.89488858,11.17305374,0.620579779,7.348215103,0.514978349,9.039845467,0.333790421,4.497319221,0.716291666,7.430543423,0,,0.017592572,0.689032149,0.706624722,0.013893879,1.086733828
38,0.576344907,8.255569458,0.47165215,5.69474411,0.525147855,5.94244051,1.308778882,21.11431313,0.287116259,5.051135063,0.551114261,6.009928226,0,,0.017822994,0.53200939,0.549832384,0.018462431,0.697927935
39,0.650217056,8.465019226,0.590985894,6.642255783,0.631092846,6.578409195,1.560572505,22.26203537,0.329025924,4.018113136,0.563575327,5.49827528,0,,0.069524607,0.730383921,0.799908528,0.016632953,1.967355939
40,0.50937891,6.022473335,0.625548899,7.017656803,0.550058603,5.777449608,,,,,,,0,,0.018989068,0.578158739,0.597147808,0.006304309,2.80228174
41,0.548914552,8.352238655,0.618130505,8.115428925,0.567068219,6.889294147,1.182246208,24.36735344,8.16E-02,1.119315982,0.510247827,5.518484592,0,,0.01057424,0.658102426,0.668676665,0.008995219,0.291308227
42,1.24997437,17.96198082,1.245189071,16.19127846,1.074343085,13.22543144,2.11299777,30.49233818,0.43312043,6.057549953,0.630140424,7.574840069,0,,0.147286104,1.383102207,1.530388311,0.024561936,0.031071614
43,0.902134597,13.08730602,0.986512065,12.34804344,0.845362186,10.37933254,,,,,,,0,,0.03143266,0.914645695,0.946078354,0.011709377,3.673609687
44,0.491880536,6.625376225,0.655539095,8.463004112,0.502444029,5.901528358,1.008301258,17.02759552,0.185732111,2.642090559,0.484720588,5.766324043,0,,0.024095226,0.60290337,0.626998596,0.006024156,-0.195860909
45,1.23975265,18.67262077,0.986503601,13.45930862,0.711553454,9.156707764,1.509738564,22.75250435,0.296036482,4.099833012,0.60808146,7.280853271,0,,0.211506203,1.001217388,1.21272359,0.019649775,-0.240782705
46,1.645069003,25.21645164,1.791113257,26.41437531,1.339649558,18.02885628,,,,,,,0,,0.108375077,2.118399133,2.22677421,0.041754537,-0.271763255
47,0.68670702,9.349539757,0.721373737,9.088913918,0.554871023,6.796818733,2.275181055,32.18848038,0.646131933,10.13406754,0.632160664,7.35097599,0,,0.039972402,0.767474641,0.807447043,0.005731601,-0.272925025
48,1.095839024,13.71177673,1.220523715,15.05624008,0.773149729,9.135716438,1.003797174,15.02246857,0.743119478,10.59054565,0.795739293,9.214616776,,,0.255168623,1.045131523,1.300300146,0.030829272,-0.082781905
